unique_id,concert_id,source_id,scraper_id,venue_id,artist,artist_short,venue,venue_short,day_of_week,date,street_address,city,state_code,zip_code,start_time,end_time,door_time,event_free,event_details,first_description,second_description,genre,quality_score
0,0,2,1,0,Ships to Roam,Ships to Roam,Boon's Treasury,Boon's Treasury,Friday,2020-02-7,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,Ships to Roam was born in 2005 as the solo project of singer/songwriter Jerome Blankenship.,"""Funeral Songs & Lullabies"", StR's first album was released in 2006 to critical acclaim. Ships to Roam played Portland alongside acts such as Horse Feathers, Kind of Like Spitting, Fernando, Radiation City, McDougall, A Fine Frenzy, Jackalope Saints, and Alela Diane. In the following years Blankenship wrote new material, raised a family and attempted to find a band. Finally after years of searching, a four piece band that brings an exciting, danceable twist to the music was formed in 2013. Ships cites influences X, Rogue Wave, The Old 97's and The War on Drugs. ""Boxing the Compass"" , Ships to Roam's 3rd full length is due out in summer of 2018. Stay tuned! Praise for Funeral Songs & Lullabies: ""Ships to Roam's is a much darker, quieter, smarter affair. Funeral's tracks would fit well on a mix tape with like-minders such as Iron and Wine and Hayden-or Nick Drake. Don't miss this up and coming Portland talent."" Jason Pearson of The Portland Mercury. Songwriting ""Far more moving than anything a Marshall stack could produce."" Mark Baumgarten, Willamette Week ""These songs retain a rawness many times lacking in the world of indie folk."" Pabst Blue Ribbon, Live and Local. "" Intriguing, catchy diary honest rawness that, somehow, still offers rays of hope."" Amy McCullough, ",Folk,0
0,0,2,1,0,Green Mountain Guild,Green Mountain Guild,Boon's Treasury,Boon's Treasury,Wednesday,2020-02-5,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,Green Mountain Guild is a Portland based chamber pop ensemble.,"Multi-part vocal harmonies steeped in
storytelling, strings and a diverse rhythm section fuel the group to search for
deeper musical portals. Emotional themes of loss, birth, pain and celebration
populate a cinematic landscape. Lyrical melodies traverse an intricate and
melancholy harmonic form. The rhythm section experiments with a wide palate of
dynamics, coupled with the freedom to dance in and out of tempo. Elements of
folk, jazz and classical music permeate their sonic canvas. Through captivating
songwriting and arrangements Green Mountain Guild creates a sensory space for
listeners to absorb and dwell for a time. ","Folk, Jazz, Pop, Classical",0
0,0,2,1,0,Skip vonKuske,Skip vonKuske,Boon's Treasury,Boon's Treasury,Thursday,2020-02-27,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,?,"Chances are
you've heard him - whether on his own recordings, or those of his primary live
touring projects  , Skip has played cello on hundreds of recordings over two
decades in Portland. He has performed around the nation and the world, while
maintaining an active schedule in the local music scene in all types of genres. Skip
vonKuske has been playing the cello for nearly 30 years.  After leaving college in 1989, he played bass
and guitar in pop bands but more recently has found himself integrating his
classical training with improv/pop/ethnic/world music.  He is a skilled improviser, with an uncanny
ability to slip into others' music.  His
ability to provide the prefect complement has earned him credits on over 100
local albums.  vonKuske remarks:  ""I am as inspired by  ""Four Seasons"" and the minimalism of  .  My goal has been to EXPAND the perception of
the cello.  Its tonal palette goes beyond
classical / baroque usage; there is a viability to make any type of music with
the cello."" 
 Skip
vonKuske is one of the most sought after cellists in the Northwest; he is  perhaps best known as a master collaborator
for his work with groups such as    vonKuske is also many other things: a
composer, an innovator, an improviser, and producer.   has described him as ""a one-man chamber ensemble,""
and this is apparent in his solo work, in which he uses looping technology and
sound-manipulation tools to push the cello into uncharted terrain, and yet does
so without sacrificing the sentiment which is heard in his powerful, concise
phrasing.
  cello at the age
of eight, and has studied with renowned cellists  .
While at MSU, Skip performed with numerous regional orchestras and in several
original music projects, in which he also played bass, guitar and mandolin.
 When
Skip moved to Portland, Oregon in 1994, his skills as an improviser and
singer/songwriter set him apart from many other classically trained musicians.
In his first three years in Portland he recorded on projects with well over
fifty artists. And over the last decade, Skip's cello has provided vital,
though often subtle texture, to hundreds of recordings including   and many others. He stays active in the Portland's Jazz
community and collaborates with film makers, producers, chamber music groups
and is the first call of top music studios whenever a professional cellist is
needed, whether their client has  Since
the early 2000s, Skip has been a regular performer throughout the  playing on nearly
all their stages; plus sharing the   stage with national acts like  , and
more. In 2015, he reached a rare milestone - holding his on-going Monday night
residency at  ","Jazz, Pop, Classical",0
0,0,2,1,0,Gumbo Groove,Gumbo Groove,Boon's Treasury,Boon's Treasury,Friday,2020-02-28,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,Gumbo Groove's music is an adventure in genre bending.,"We call it Fungrass, played on
traditional acoustic instruments. Snatches of David Grisman-like riffs give way
to New Orleans second line simmers, while shades of the Grateful Dead can be
heard wending amongst the chordal carousings. Always friendly, always fun,
Gumbo Groove is a musical incident looking for a place to happen.  Frank
Sprouse- guitarist, writes and arranges the band's mostly original music. After
playing electric guitar most of his life, he now loves playing his
Alvarez-Yairi DY62C dreadnought over multi-textured grooves. His influences
include Dave Matthews, Monte Montgomery, Steve Kimock, with a grateful nod to
Jerry Garcia. His dexterous acoustic playing takes Gumbo Groove to unique
places, and his riffs and rhythms help to fuel GG's musical adventures. 
Steve Mosher- acoustic bass, builds his own instruments and his own line
of speakers called Sonuspheres, all amazing to behold, and he's just as
comfortable playing four string as six or eight. With a long history of band
membership from jazz to rock w/ all stops in between, he provides a solid and
complex foundation for the explorations of Gumbo Groove. His musical vocabulary
is deep, and his influences range far and wide, from Phil Lesh to Stanley
Clarke. 
Kathy Mezger has been playing in bands since high school. While living in Eugene
in the 80's she was part of the acoustic group Wolf Creek and sang jazz with
numerous bands in the Eugene and Portland areas. In Northern California she was
a member of the band of women called Foxes in the Henhouse, specializing in
tight three and four part harmonies. Kathy plays mandolin and guitar,
adding her supple voice to the top end of Gumbo Groove's vocal profile.  ","Jazz, Rock",0
0,0,2,1,0,Syco Billy's String Band,Syco Billy's String Band,Boon's Treasury,Boon's Treasury,Friday,2020-02-21,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,"When Glen's son Brian was diagnosed with ALS, Glen wanted Brian to see him play music with Brian's sons Branden and Brad.","They started hosting a weekly BBQ and Jams dinner night which continued to grow as more family and friends attended and joined the jam. With many thanks to Brian and his love of music, the Syco Billy's String Band was formed in 2015 with the original members; Glen Damewood (Banjo, Dojo) Kenny Peters (Guitar) Don Baker (Mandolin) and Beningo Chavez (Bass) Shortly after Luc Dauvin joined adding the fun touch of the fiddle. The Syco Billy's have been playing at local festivals, pubs, and private parties ever since. In 2016 Benny decided to take other opportunities and Bruce Carnine took his place on the Bass. ",default,0
0,0,2,1,0,JT Wise Band,JT Wise Band,Boon's Treasury,Boon's Treasury,Saturday,2020-02-29,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,""" I listen to this band and can't figure out what makes JT's guitar leads so different and so great.","He sounds like no one else on the planet. I'm on the
edge of my seat listening to this band!"" -Mary Flower. Per Daniel
Curran, Positively Entertainment September 2018 feature, ""they are a band
to see. They have their own sound combining many distinctive musical genres all
of which have you moving and grooving."" The band has
it all with cosmic guitars, good time jams, vocal harmonies and toe tapping
rhythm.  They play a mix of rollicking roots rock originals and covers
such as the Grateful Dead!  You will have a great time whether you want to
relax and listen to the band or party and dance the night away.  The JT Wise band features husband and wife songwriters, JT Wise on guitar
and vocals and Margaret Wise on bass and vocals. They write, record and produce
their own music. They are frequent performers. They are joined by band members
Jim Stein on rhythm/slide guitar and vocals, and Ken Woodside on drums. ",Rock,0
0,0,2,1,0,Samsel,Samsel,Boon's Treasury,Boon's Treasury,Wednesday,2020-02-26,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,"Samsel is an alt-country, blues-inspired band from Portland, Oregon.","Fronted by husband and wife, Cary and Kelsey Samsel, the band has been playing together since 2012. They have released two EP's and one full-length record. In 2018 they released a single called ""California"" and plan to continue releasing new songs every month through 2020.  ","Blues, Country",0
0,0,2,1,0,Tobias Berblinger,Tobias Berblinger,Boon's Treasury,Boon's Treasury,Thursday,2020-02-20,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,Tobias Berblinger cranks out solid original tunes spearheaded by folk weirdness and sing-along barroom anthems.,"While fulling honoring the tongue-in-cheek trappings of country music storytelling, with the protagonist managing to lose his dog, his house, his girl, and his weed all in the same song. His latest album,The Luckiest Hippie Alive, is out now on TDRCO and is an affectionate testament to strong songwriting, a fertile period in American music, and the perennial highway blues. ","Blues, Country, Folk",0
0,0,2,1,0,Thomas Mudrick,Thomas Mudrick,Boon's Treasury,Boon's Treasury,Friday,2020-02-14,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,Thomas Mudrick has been entertaining the Portland and Willamette Valley music scene with his Psychedelic sounds for over 10 years.," This multi-talented musician brings together the diversity of
world music with American Psych Rock roots. Add in beatboxing rhythms,
Mongolian throat-singing, native american flute or harmonica, all while
reproducing natural sounds like whales, the breath of wind,  - and the
mesmerizing, ""shoegaze""-influenced psychedelic guitar and you have a
musical eclecticism that keep his faithful followers always coming back for
more. ",Rock,0
0,0,2,1,0,Jessica Manalo,Jessica Manalo,Boon's Treasury,Boon's Treasury,Saturday,2020-02-15,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,"Jessica Manalo is a Las Vegas based soul singer, performing her strong original material both acoustically and with her backing band.","She has headlined venues such as the Hotel Cafe in Hollywood, Brooklyn Bowl Las Vegas, and SLS Sayers Club. Manalo has opened for recognized, waving artists such as Bruno Major, Allen Stone, JMSN, Lawrence Taylor, Black Milk and performed with opening act for Emily King's ""Switch Tour"". The songwriter has gained attention from local press and media such as FOX 5, KTNV, The Las Vegas Review Journal, Desert Companion, Smash Magazine, and Las Vegas Weekly, winning ""Best New Voice"" of 2016 and has been featured on the international music show, BalconyTV. Manalo released her self-titled EP in 2015 and completed her ""Silence Tour"" June of 2016. The soul artist released ""Acoustic Sessions EP"" in February 2018 and is back in the studio recording another 5 song EP to be released summer of 2018. ""I want people to feel what I feel when I sing."" Every lyric is written from personal experience and while many involve heartbreak and opposition, she focuses on finding the strength to overcome. ",Soul,0
0,0,2,1,0,Chris Margolin,Chris Margolin,Boon's Treasury,Boon's Treasury,Wednesday,2020-02-12,888 Liberty St.,NE Salem,OR,97301,8 pm,11 pm,,1,All ages welcome,"Chris Margolin has been a staple in the Portland music scene for the last decade, crafting heartfelt pop-rock songs as both a solo artist, as well as the lead singer for Chris Margolin & The Dregs, Frame by Frame, and the very active Lucy Gray.","With his powerful vocals, tastefully honest lyrics, and storyteller like performances, he is able to bring together any type of audience. With his new project, Chris Margolin & The Dead Bird Collection, he is sure to continue to leave his mark in the NW music scene.  ","Pop, Rock",0
