unique_id,concert_id,source_id,scraper_id,venue_id,artist,artist_short,venue,venue_short,day_of_week,date,street_address,city,state_code,zip_code,start_time,end_time,door_time,event_free,event_details,first_description,second_description,genre,quality_score
0,0,2,1,0,None,None,Al's Den,Al's Den,Monday,2020-03-16,700 NW Bond Street,Bend,OR,97703,6:30 pm,,,1,Minor with parent or guardian,"5:30 pm doors, 6:30 pm presentation 5:30 pm doors, 6:30 pm presentation Dietary sugars are one of the biggest health threats in America.","Join board-certified cardiologist Dr. David Guarraia to better understand our troubling consumption of sweetened food and learn more about the steps you can take to prevent chronic conditions like diabetes and heart disease, and improve your overall health. Dr. David Guarraia is the director of cardiac rehabilitation at the St. Charles Heart and Lung Center. Guarraia joined St. Charles Health System in November 2018, and brings with him an interest in preventive cardiology in an attempt to improve long-term outcomes and quality of life with fewer medications or procedures. He is currently the principle investigator of a low-carb diet study at St. Charles Bend. Join us for a fun and interactive lecture series where St. Charles docs talk
hot health care topics. Doors open at 5:30 pm First come, first served,
arrive early. Food and beverage sales help support this lecture series. ",default,0
0,0,2,1,0,Henhouse Prowlers,Henhouse Prowlers,Al's Den,Al's Den,Thursday,2020-05-7,700 NW Bond Street,Bend,OR,97703,7-10 pm,7-10 pm,,1,All ages welcome,"Founded over 14 years ago with the simple desire to play original and powerful bluegrass, this quartet now finds themselves at the intersection of performance, diplomacy and education.","The Henhouse Prowlers have now been to more than 25 countries across the globe. Working with the U.S. State Department and under their own non-profit Bluegrass Ambassadors, the band incorporates music from Africa, Asia, the Middle East and more into their already robust repertoire of unique traditional American music. When performing live, presenting workshops and wherever they are, the Henhouse Prowlers find and spread the commonality we share as human beings through the universal language of music. On stage, the group's electrifying performances give audiences a sense of how much they love what they do; while on record, the band manages to explore their collective life experiences through songwriting and intricate instrumentation. While bluegrass is the undeniable foundation of the Henhouse Prowlers's music, the band manages to bend and squeeze the traditional form into a sound all their own. With over 175 shows a year, the quartet often performs in places traditional American music has never been. Tours in Siberia or the Middle East are not uncommon since the Henhouse Prowlers started working as cultural ambassadors with the U.S. State Department in 2013 on the American Music Abroad cultural diplomacy tours. These global experiences have pushed the band in new directions musically, with songs from Africa and Asia on several albums, but they have also moved the group to start an educational outreach program for school children and festival-goers alike.  The Henhouse Prowlers's non-profit Bluegrass Ambassadors uses traditional American music as an educational foundation to connect folk music and cultures all over the world. Having been to 11 countries in Africa alongside Russia, Pakistan, Kyrgyzstan, Saudi Arabia and UAE, these powerful direct experiences with distant peoples and musicians have shaped the band’s worldview and shifted the group’s direction towards bridging cultural gaps through music, educational programs and workshops. The Henhouse Prowlers released two albums in 2017, including   in March and the phenomenal studio album   in November. 2018-19 saw more European tours for the band and even more adventures as the Henhouse Prowlers continue to bring their own blend of bluegrass. ","East, Folk",0
0,0,2,1,0,The Campfire Boys,The Campfire Boys,Al's Den,Al's Den,Wednesday,2020-03-18,700 NW Bond Street,Bend,OR,97703,7 pm,-10 pm,,1,All ages welcome,The Campfire Boys is a new project featuring Justin John and Rich Landar.,"Justin is best known for his lead guitar playing with
Portland's own Garcia Birthday Band. He can also be seen with Russell Street
Jam and plans on releasing a solo album later in the year. Rich Landar plays mandolin in The Hillwilliams, who are
planning to release their second album later this year. He also musically sluts
around with a bunch of other bands including Rob Wynia and the Sound, and the
Northwest's top Elvis Costello tribute, ""This Years Model"" where he
plays keyboards. The Campfire Boys give Justin and Rich a chance to play a
wide variety of material which came together over the last few years around
actual campfires throughout Oregon and Washington. ",default,0
0,0,2,1,0,Shady GroOove,Shady GroOove,Al's Den,Al's Den,Wednesday,2020-02-26,700 NW Bond Street,Bend,OR,97703,7 pm,-10 pm,,1,All ages welcome,"The music of Shady GroOove is a charismatic blend of musical genres from the worlds of rock, blues, funk, Americana, jam, jazz, and classical--- conveyed through the melodic voicing’s of violin and keyboards and the rhythmic drive of bass and drums.","There’s something for everyone from this
unique musical offering. Sit back, chill, and enjoy the sweet melodic passages
and improvisational explorations or feel the groove and get up to dance the
night away. Either way, Shady GroOove is a musical vehicle that helps one to
live in the moment and, indeed, “forget about the time”. The word ""eclectic"" is probably the singlemost
over-used adjective when describing bands today. In the case of Shady GroOove,
the band truly does not fit the mold of any one particular genre. Rather, they
select the best musical elements from a diverse blend of artists such as
Grateful Dead, Medeski/Martin & Wood, Ryan Adams, Michael Jackson, String
Cheese Incident, The Band, Phish, Weather Report, as well as their own
contribution of original music. The result is a bold, adventurous style of
music that strives to push the envelope while keeping the listener engaged and
entertained. ","Blues, Jazz, Rock, Classical",0
0,0,2,1,0,Lost Ox,Lost Ox,Al's Den,Al's Den,Thursday,2020-03-12,700 NW Bond Street,Bend,OR,97703,7 pm,-10 pm,,1,All ages welcome,"Genre-blending Portland, OR-based Lost Ox have been cooking up their own all-original mix of prog rock, country Americana and funk since early 2017.","Hot off recording their first
full-length album, ""Wildheart"", the band brings their own brand of inventive
playfulness to performances, weaving dark, murderous yarns in the same stride
as delightfully groovy jive numbers, saturated richly with improvisation and
interplay. ","Country, Rock",0
0,0,2,1,0,None,None,Al's Den,Al's Den,Thursday,2020-02-13,700 NW Bond Street,Bend,OR,97703,7 pm,-10 pm,,1,All ages welcome,Drift plays original music.,". melodic heavy, moody, driving,
dreamlike, and haunting. The music drifts with unique chord patterns and intelligent lyrics. Mark Quon writes the music and fronts the band on guitar
and vocals. Terence Neal adds lead guitar and harmony with John Allen on bass. Linda Quon, Boo Rigney and Laurie Hamilton singing harmonies and playing guitars, banjolele and harmonium. We play in and around Bend, Oregon. We do bluegrass, Americana and folk and lots of original tunes. Little bit of everything. ",Folk,0
0,0,2,1,0,Cloverdayle,Cloverdayle,Al's Den,Al's Den,Thursday,2020-03-5,700 NW Bond Street,Bend,OR,97703,7 pm,,,1,All ages welcome,"One of McMenamins' favorite musical traditions, the   has delivered the finest regional and national talent to our historic hotels for over a decade.","With its early start time, family-friendly setting and no admission charge, it has become one of the best ways to catch both rising acts and longtime favorites. We've run well over a hundred of these one-of-a-kind music tours through our hotel properties... join us as we raise a toast to hundreds more to 
come!
 Nashville based husband and wife duo Cloverdayle originally hail from the Pacific Northwest. Since the birth of Cloverdayle in 2008, Chad and Rachel Hamar have had a relentless determination to bring their brand of country music to the masses in a grassroots way. The duo moved from their home state of Oregon to Nashville, Tenn., in the fall of 2013. Not in search of fame, fortune or record deals, but with one overriding goal - to push themselves as songwriters. So they've written, and lived, and toured, and written, and lived, and toured, and written some more. Pulling from those real life experiences, Chad and Rachel have literally been writing and performing the soundtrack of their lives...and their friends' lives...and perfect strangers' lives. Cut to five years post-move, with two fully-fan-funded albums & two EPs under their collective belts, a featured song
on the popular Canadian TV show “Heartland” (now on Netflix), a feature on  's website, hundreds of
energy-fueled live performances, (including opening spots for Kenny Chesney, Lady Antebellum, Eric Church,
Jason Aldean and Kelsea Ballerini), and thousands of late nights and copious cups of early morning coffee, Cloverdayle then released a self-titled full length album featuring 15 original songs penned or co-penned by the duo, as well as a bonus track of their take on the 1996 hit “Strawberry Wine.” Their engaging live shows and regular hilarity - via Facebook and Instagram Live stream outlets - sparked the duo’s
fan base to fund their most recent Kickstarter campaign that reached almost $37,000 in just 30 days. In addition to many high-profile shows on their 2018 “Summer of Shenanigans Tour,” Cloverdayle was invited to join the line-up at the iconic Oregon Jamboree, headlining the second stage in the coveted Saturday night spot
and performing directly in front of Maren Morris and Brett Eldredge on the main stage. And Nashville is taking notice. After being pitted against prominent groups like Maddie & Tae and Runaway June, Cloverdayle wrapped up their biggest year yet by being named Women of Country’s 2018 “Group of the Year”. Born in Colorado with roots across Wyoming and settled in Oregon, it’s been a long time
coming home for Adam Larson & Co. - playing music all across the States from smoky bars,
and dance halls, to packed festivals! Larson has been writing and performing shows solo as well as with a bluegrass band
for many years. In 2016, the Company came to life, as they moved toward recording a debut
album. With the support of fans from all over the country, they recorded   This album is full of stories from a life spent working hard and on the road. ","Country, Pop",0
0,0,2,1,0,3 of We,3 of We,Al's Den,Al's Den,Thursday,2020-02-20,700 NW Bond Street,Bend,OR,97703,7 pm,-10 pm,,1,All ages welcome,"If one is the loneliest number, three is the luckiest number.","“3 of We” is Blake Lowrey-Evans (guitar), Craig Brown (bass) and Greg Copley (drums), doing what they love. They draw on too many influences to list. The music is meticulously crafted from their heart, head and hands, for your ears, mind and body, and weaves a story that everyone in the audience can relate to. The more you listen, the more you hear. ",default,0
0,0,2,1,0,Cascade School of Music's Spring Band Concert,Cascade School of Music's S...,Al's Den,Al's Den,Sunday,2020-03-1,700 NW Bond Street,Bend,OR,97703,5 pm,8 pm,,1,All ages welcome,"Four bands comprised of students (ages 10-18) from Cascade School of Music under the direction of Nathan Wegner, Seth Burrows and Meshem Jackson will entertain guests at McMenamins Old St. Francis Father Luke's Room.",,default,0
0,0,2,1,0,None,None,Al's Den,Al's Den,Wednesday,2020-02-5,700 NW Bond Street,Bend,OR,97703,7 pm,-10 pm,,1,All ages welcome,"""The songs of Pete Kartsounes rival the caliber of the great songwriters of our time and are prolific beyond description"".","-Gus Skinas, As a cutting-edge
musician, Pete Kartsounes is
fulfilling a vision of writing music with meaning. The performer/songwriter has
spent most of his life creating original music that entertains and enlightens.
Through the years, his music has evolved to inspire on deeper levels and
provide a helping hand to others. Led by his heart and fueled by his soul, Pete
is on a quest to make a difference, being captured in his music and celebrated
in his life.  At the foothills of
the Rocky Mountains, Pete writes award-winning songs about love, loss, hope,
and adventure. In 2009, he earned his newest award as first runner-up in
Telluride's prestigious Troubadour Competition. He is a musical craftsman and
truly limitless artist whose songwriting draws from a myriad of musical
traditions, including folk, blues, jazz, and bluegrass. Writing ballads
and compositions, Pete is best described as a story teller, weaving a tale
through his music, taking listeners on a soulful journey. His smoky voice is
complemented by a soft texture with depth that stretches beyond his years, as
he sings with all-consuming passion and conviction. Pete is an energetic
performer who has shared the stage with many renowned artists including Jerry
Garcia Band, Del McCoury Band, Bill Kreutzmann (Grateful Dead), moe, North
Mississippi All-Stars, The Radiators, The Neville Brothers, John McEuen,
Leftover Salmon, and Yonder Mountain String Band. In 2000, Pete was chosen to
write and record with Dave Kruzin of Pearl Jam, and members of Blues Traveler.   on drums, with talented guests often sitting in.
The diverse musicians boast a wide range of skills and instruments, opening the
playing field to almost limitless possibilities. The band and trio provide a
fuller, richer live performance with the power to ignite a room and crowd,
while solo shows offer listeners an intimate musical encounter that is unique
and captivating.  Originality is a
cornerstone as Pete continues to write a plethora of great songs and music.
January 1, 2011 marked the exciting culmination of his newest musical vision
and production with the official release of his fourth studio album,  . Capturing yet another side of his diverse artistic expression,
the soulful album is an eclectic fusion of musical styles, accented by unique arrangements
and a variety of instruments. It features his band and many additional talented
artists, including Jeremy Garrett of The Infamous Stringdusters on fiddle and
Bill McKay of Leftover Salmon playing the B3 Hammond Organ. Pete's warm,
consuming vocals convey the depth and raw emotion of his carefully crafted
lyrics, weaving a tale of hope through the songs, encouraging belief in our
dreams, ourselves, and a better tomorrow.
 , was released in 2007, gaining national exposure.
It is a tasteful blend of original music entwined with acoustic overtones and
superb musicianship. The album also includes many talented guests, including
Grammy Award Winner Sally Van Meter, Drew Emmitt of Leftover Salmon, Travis
Book of The Infamous Stringdusters, and Jeff Austin of Yonder Mountain String
Band. The recording was done in Direct Stream Digital (DSD) format by sound
wizard Gus Skinas, who has experience collaborating with many great artists
including Bob Dylan, Bruce Springsteen, and Pink Floyd.  
Continuing his mission to make a difference,
Pete created a non-profit organization in 2007 called the Hike4Cancer Foundation.
Combining his love of music, the outdoors, hiking, and community, his
foundation helps sustain organizations that provide support for families with
children battling a critical illness. Additionally, Pete volunteers his time
each summer to hike the 500-mile Colorado Trail, playing live shows along the
way, while raising money and awareness for this important cause. 
 ","Blues, Folk, Jazz, Soul, Rock",0
